Floyd-Warshall;Type:Semi;Edges:125208;2814910
Floyd-Warshall;Type:Semi;Edges:148790;3866270
Floyd-Warshall;Type:Semi;Edges:174114;4576520
Floyd-Warshall;Type:Semi;Edges:201808;5698510
Floyd-Warshall;Type:Semi;Edges:231706;6986220
Floyd-Warshall;Type:Semi;Edges:261826;8456380
Floyd-Warshall;Type:Semi;Edges:295318;10140300
Floyd-Warshall;Type:Semi;Edges:330568;11977300
Floyd-Warshall;Type:Semi;Edges:367390;14069700
Floyd-Warshall;Type:Semi;Edges:407244;16472000
Ford-Bellman;Type:Semi;Edges:28;5
Ford-Bellman;Type:Semi;Edges:1440;861
Ford-Bellman;Type:Semi;Edges:4756;5011
Ford-Bellman;Type:Semi;Edges:10212;15398
Ford-Bellman;Type:Semi;Edges:17352;34152
Ford-Bellman;Type:Semi;Edges:26964;65389
Ford-Bellman;Type:Semi;Edges:38238;113065
Ford-Bellman;Type:Semi;Edges:51820;172601
Ford-Bellman;Type:Semi;Edges:67318;255997
Ford-Bellman;Type:Semi;Edges:84198;366365
Ford-Bellman;Type:Semi;Edges:104158;493674
Ford-Bellman;Type:Semi;Edges:125208;654617
Ford-Bellman;Type:Semi;Edges:148790;837477
Ford-Bellman;Type:Semi;Edges:174114;1060510
Ford-Bellman;Type:Semi;Edges:201808;1321850
Ford-Bellman;Type:Semi;Edges:231706;1647490
Ford-Bellman;Type:Semi;Edges:261826;1958720
Ford-Bellman;Type:Semi;Edges:295318;2336500
Ford-Bellman;Type:Semi;Edges:330568;2772960
Ford-Bellman;Type:Semi;Edges:367390;3267450
Ford-Bellman;Type:Semi;Edges:407244;3785210
A-star;Type:Semi;Edges:28;7
A-star;Type:Semi;Edges:1440;94
A-star;Type:Semi;Edges:4756;225
A-star;Type:Semi;Edges:10212;363
A-star;Type:Semi;Edges:17352;506
A-star;Type:Semi;Edges:26964;776
A-star;Type:Semi;Edges:38238;806
A-star;Type:Semi;Edges:51820;1168
A-star;Type:Semi;Edges:67318;1277
A-star;Type:Semi;Edges:84198;1668
A-star;Type:Semi;Edges:104158;2123
A-star;Type:Semi;Edges:125208;2004
A-star;Type:Semi;Edges:148790;2375
A-star;Type:Semi;Edges:174114;2767
A-star;Type:Semi;Edges:201808;3298
A-star;Type:Semi;Edges:231706;3496
A-star;Type:Semi;Edges:261826;3768
A-star;Type:Semi;Edges:295318;3997
A-star;Type:Semi;Edges:330568;4768
A-star;Type:Semi;Edges:367390;4898
A-star;Type:Semi;Edges:407244;5893
Dijkstra;Type:Empty;Edges:18;8
Dijkstra;Type:Empty;Edges:118;53
Dijkstra;Type:Empty;Edges:218;109
Dijkstra;Type:Empty;Edges:318;126
Dijkstra;Type:Empty;Edges:418;168
Dijkstra;Type:Empty;Edges:518;211
Dijkstra;Type:Empty;Edges:618;264
Dijkstra;Type:Empty;Edges:718;307
Dijkstra;Type:Empty;Edges:818;359
Dijkstra;Type:Empty;Edges:918;421
Dijkstra;Type:Empty;Edges:1018;468
Dijkstra;Type:Empty;Edges:1118;546
Dijkstra;Type:Empty;Edges:1218;573
Dijkstra;Type:Empty;Edges:1318;650
Dijkstra;Type:Empty;Edges:1418;705
Dijkstra;Type:Empty;Edges:1518;723
Dijkstra;Type:Empty;Edges:1618;803
Dijkstra;Type:Empty;Edges:1718;818
Dijkstra;Type:Empty;Edges:1818;878
Dijkstra;Type:Empty;Edges:1918;923
Dijkstra;Type:Empty;Edges:2018;979
Floyd-Warshall;Type:Empty;Edges:18;24
Floyd-Warshall;Type:Empty;Edges:118;3534
Floyd-Warshall;Type:Empty;Edges:218;21324
Floyd-Warshall;Type:Empty;Edges:318;65471
Floyd-Warshall;Type:Empty;Edges:418;147609
Floyd-Warshall;Type:Empty;Edges:518;279688
Floyd-Warshall;Type:Empty;Edges:618;473640
Floyd-Warshall;Type:Empty;Edges:718;743434
Floyd-Warshall;Type:Empty;Edges:818;1097890
Floyd-Warshall;Type:Empty;Edges:918;1547120
Floyd-Warshall;Type:Empty;Edges:1018;2107580
Floyd-Warshall;Type:Empty;Edges:1118;2786440
Floyd-Warshall;Type:Empty;Edges:1218;3614480
Floyd-Warshall;Type:Empty;Edges:1318;4567160
Floyd-Warshall;Type:Empty;Edges:1418;5690760
Floyd-Warshall;Type:Empty;Edges:1518;7022490
Floyd-Warshall;Type:Empty;Edges:1618;8428520
Floyd-Warshall;Type:Empty;Edges:1718;10068900
Floyd-Warshall;Type:Empty;Edges:1818;11943900
Floyd-Warshall;Type:Empty;Edges:1918;14034900
Floyd-Warshall;Type:Empty;Edges:2018;16473000
Ford-Bellman;Type:Empty;Edges:18;4
