Dijkstra;Type:Full;Vertices:10;16;;;;;;;;;;;;;;;;;;;;;;;Дейкстра;Флойд-Уоршелл;Беллманн-Форд;А-star;;
Ford-Bellman;Type:Full;Vertices:110;13483;;;;;;;;;;;;;;;;;;;;;;Vertices:210;1576;955;;;;
Ford-Bellman;Type:Full;Vertices:160;41370;;;;;;;;;;;Беллман-Форд при полном графе;;;;;;;;;;;Vertices:260;2522;1289;;;;
Ford-Bellman;Type:Full;Vertices:210;93809;;;;;;;;;;;;;;;;;;;;;;Vertices:310;3023;1678;;;;
Ford-Bellman;Type:Full;Vertices:260;177825;;;;;;;;;;;;;;;;;;;;;;Vertices:360;4459;2488;;;;
Ford-Bellman;Type:Full;Vertices:310;301058;;;;;;;;;;;;;;;;;;;;;;Vertices:410;4989;2708;;;;
Ford-Bellman;Type:Full;Vertices:360;471608;;;;;;;;;;;;;;;;;;;;;;Vertices:460;6449;3345;;;;
Ford-Bellman;Type:Full;Vertices:410;695848;;;;;;;;;;;;;;;;;;;;;;Vertices:510;7353;4029;;;;
Ford-Bellman;Type:Full;Vertices:460;983719;;;;;;;;;;;;;;;;;;;;;;Vertices:560;8303;4570;;;;
Ford-Bellman;Type:Full;Vertices:510;1348590;;;;;;;;;;;;;;;;;;;;;;Vertices:610;10301;5448;;;;
Ford-Bellman;Type:Full;Vertices:560;1788430;;;;;;;;;;;;;;;;;;;;;;Vertices:660;11307;6189;;;;
Ford-Bellman;Type:Full;Vertices:610;2308270;;;;;;;;;;;;;;;;;;;;;;Vertices:710;14134;7049;;;;
Ford-Bellman;Type:Full;Vertices:660;2912390;;;;;;;;;;;;;;;;;;;;;;Vertices:760;18735;7731;;;;
Ford-Bellman;Type:Full;Vertices:710;3620890;;;;;;;;;;;;;;;;;;;;;;Vertices:810;21645;9217;;;;
Ford-Bellman;Type:Full;Vertices:760;4442760;;;;;;;;;;;;;;;;;;;;;;Vertices:860;23871;9685;;;;
